?trackname=walkinthepark
?scorefactor=10
?scrollspeed=10
?bpm=90
?sync=666
000000 E
000666 E
001333 E
002000 E
002687 _ 0
003327 _ 0
004009 _ 0
004628 _ 0
005311 _ 0
005631 _ 0
005908 E 0
006292 _ 0
007039 _ 0
007359 E 0
007999 _ 0
008319 _ 0
008639 E 0
008959 _ 0
009641 _ 0
009961 E 0
010644 _ 0
010921 _ 0
011284 E 0
011625 _ 0
012351 _ 0
012628 E 0
013289 _ 0
013631 _ 0
013951 E 0
014249 _ 0
014825 E 0
014889 _ 0
015252 _ 0
015956 _ 0
016276 _ 0
016639 E 0
017023 F 0
017300 E 0
017641 F 0
017983 E 0
018281 F 0
018644 _ 0
018985 _ 0
019305 E 0
019647 F 0
019967 E 0
020308 F 0
020649 E 0
020969 F 0
021289 _ 0
021631 _ 0
021972 E 0
022292 F 0
022633 E 0
022975 F 0
023252 E 0
023615 F 0
023956 _ 0
024340 _ 0
024617 E 0
025001 F 0
025321 E 0
025620 F 0
025940 E 0
026665 _ 0
027007 _ 0
027327 E 0
027647 _ 0
028287 _ 0
028649 E 0
028927 _ 0
029268 _ 0
029631 _ 0
029972 E 0
030292 _ 0
030612 _ 0
030612 E 0
030996 _ 0
031316 E 0
031657 _ 0
031999 _ 0
032276 _ 0
032617 E 0
032916 _ 0
033257 E 0
033620 _ 0
033940 E 0
034281 _ 0
034644 _ 0
034985 _ 0
035305 F 0
035647 E 0
035924 A 0
036265 E 0
036607 A 0
036969 E 0
037268 _ 0
037631 _ 0
037972 E 0
038313 _ 0
038975 _ 0
039295 E 0
039636 _ 0
039807 _ 0
039977 _ 0
040319 _ 0
040639 E 0
040980 _ 0
041321 _ 0
041663 _ 0
041855 _ 0
041983 E 0
042303 _ 0
042644 _ 0
042985 _ 0
043284 E 0
043647 _ 0
043967 _ 0
044308 _ 0
044479 _ 0
044607 E 0
044948 _ 0
045268 _ 0
045652 _ 0
045908 E 0
046292 _ 0
046676 E 0
046975 _ 0
047273 E 0
047295 F 0
047956 _ 0
048297 _ 0
048617 E 0
048959 _ 0
049641 E 0
049940 _ 0
050495 _ 0
050644 _ 0
050964 _ 0
051263 E 0
051604 _ 0
052287 E 0
052649 _ 0
053289 _ 0
053609 _ 0
053951 E 0
054292 _ 0
054633 E 0
054953 _ 0
055295 A 0
055593 E 0
055999 A 0
056276 _ 0
056639 E 0
056959 _ 0
057321 F 0
057641 _ 0
057961 E 0
058281 _ 0
058644 _ 0
058985 _ 0
059284 E 0
059583 _ 0
059945 F 0
060287 _ 0
060607 E 0
060948 _ 0
061353 E 0
061631 _ 0
061993 E 0
062313 _ 0
062612 E 0
062996 _ 0
063295 _ 0
063316 E 0
063657 _ 0
063977 _ 0
063999 E 0
064297 E 0
064297 _ 0
064660 F 0
064959 _ 0
065257 E 0
065599 _ 0
065961 F 0
066281 _ 0
066623 _ 0
066644 E 0
066985 E 0
067007 _ 0
067348 F 0
067647 _ 0
067945 E 0
068287 _ 0
068628 F 0
068948 _ 0
069311 _ 0
069673 _ 0
069972 E 0
070335 _ 0
070996 E 0
071316 _ 0
071871 _ 0
072020 _ 0
072361 _ 0
072617 E 0
072959 _ 0
073599 _ 0
073961 _ 0
074495 _ 0
074623 _ 0
074985 _ 0
075305 E 0
075625 _ 0
076265 _ 0
076649 E 0
076991 _ 0
077161 _ 0
077332 _ 0
077631 _ 0
077801 _ 0
077951 _ 0
078292 _ 0
078463 _ 0
078655 E 0
078847 _ 0
079103 _ 0
079295 E 0
079444 _ 0
079743 _ 0
079956 _ 0
080319 _ 0
080596 E 0
081023 _ 0
081513 E 0
081599 _ 0
081961 _ 0
082644 _ 0
082943 _ 0
083284 E 0
083625 _ 0
084159 E 0
084287 _ 0
084628 _ 0
085289 _ 0
085652 _ 0
085972 E 0
086313 _ 0
086847 E 0
086911 _ 0
087295 _ 0
087935 _ 0
088276 _ 0
088681 E 0
088959 A 0
089279 E 0
089599 _ 0
089961 E 0
090281 _ 0
090644 F 0
091007 _ 0
091604 _ 0
092244 _ 0
092969 _ 0
093289 _ 0
093972 _ 0
094633 _ 0
095316 _ 0
095999 _ 0
096297 _ 0
097023 _ 0
097727 _ 0
098943 _ 0
099241 _ 0
099647 E 0
100244 _ 0
100649 E 0
100969 _ 0
101268 _ 0
101929 _ 0
102655 _ 0
104020 _ 0
106665 _ 0
109353 _ 0
111999 + 0
